                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.99922,                 1.3178,                 1.2399,                0.94362,                0.92265,                 1.1289,                 0.5767,                0.40299,                0.42678,                0.19736,                 1.5847,                 1.5143,                 2.2378,                 1.3637,                 1.2837,                 1.8148,              5.715e-05,              5.715e-05,              5.715e-05
                     24,                 1.0008,                 1.1374,                 1.2164,                0.94691,                0.84639,                 1.1198,                0.54569,                0.37313,                0.43472,                0.19897,                 1.5838,                 1.5529,                 2.2225,                 1.3305,                 1.2506,                 1.8068,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     25,                0.99171,                  1.052,                 1.2469,                0.91159,                0.83104,                  1.128,                0.52343,                0.52239,                0.48866,                 0.2278,                 1.5348,                 1.6186,                 2.1093,                 1.3411,                 1.2486,                 1.7978,             5.1259e-05,             5.1259e-05,             5.1259e-05
                     26,                0.91556,                  1.005,                 1.1764,                0.85076,                0.75225,                 1.0609,                0.54933,                0.45489,                 0.4168,                0.20759,                 1.5254,                 1.7165,                 2.1351,                 1.3402,                 1.3127,                 1.8429,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     27,                 1.0145,                 1.0746,                 1.2574,                0.95062,                0.83031,                 1.1534,                0.46932,                0.53731,                0.39252,                0.18564,                 1.5321,                 1.8498,                 2.1082,                 1.3306,                 1.3803,                 1.7371,             4.5369e-05,             4.5369e-05,             4.5369e-05
                     28,                0.84429,                 0.9291,                 1.1327,                0.83343,                0.72064,                 1.0749,                0.39861,                0.53731,                  0.419,                0.17037,                 1.5618,                  1.703,                 2.1543,                 1.2809,                 1.3736,                 1.6951,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     29,                 0.8886,                0.93904,                 1.1777,                0.83178,                0.75819,                 1.0825,                0.43803,                0.47761,                0.38827,                0.17691,                 1.5803,                 1.6815,                 2.1538,                 1.3477,                 1.2677,                  1.827,             3.9478e-05,             3.9478e-05,             3.9478e-05
                     30,                0.81643,                0.94334,                 1.0823,                0.77399,                0.73004,                 1.0087,                  0.556,                0.46269,                0.43358,                0.19284,                 1.5709,                 1.8349,                  2.127,                 1.3508,                 1.4172,                 1.7725,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     31,                0.51315,                0.51442,                0.75117,                0.47289,                0.34213,                0.68102,                 0.4211,                0.52239,                0.41195,                0.19263,                 1.5442,                 1.8707,                 2.1254,                 1.3089,                 1.5152,                 1.7664,             3.3588e-05,             3.3588e-05,             3.3588e-05
                     32,                0.50131,                0.46607,                0.73935,                 0.4691,                0.30656,                0.67869,                0.38727,                0.43394,                0.31886,                0.13999,                 1.6022,                 2.0535,                 2.1644,                 1.3588,                  1.529,                 1.7865,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     33,                0.48975,                0.44557,                0.71305,                0.45925,                0.30474,                0.65779,                0.39483,                0.52239,                0.35486,                0.14937,                  1.589,                 2.0114,                 2.2195,                 1.3458,                 1.5266,                 1.7823,             2.7697e-05,             2.7697e-05,             2.7697e-05
                     34,                0.48395,                0.44267,                0.70982,                0.45217,                0.27696,                0.65142,                0.42779,                0.44776,                0.33732,                0.15735,                 1.5466,                 2.2496,                 2.2103,                 1.3282,                 1.7111,                 1.8001,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     35,                0.47114,                0.42437,                0.71591,                 0.4302,                0.27541,                0.64972,                0.47402,                0.44776,                0.35392,                 0.1626,                 1.5853,                 2.1559,                 2.2307,                 1.3576,                 1.6043,                 1.8089,             2.1807e-05,             2.1807e-05,             2.1807e-05
                     36,                0.44616,                 0.3923,                0.66651,                0.41492,                0.26772,                 0.6124,                0.43047,                0.47761,                0.35438,                0.15708,                 1.6196,                 2.1975,                 2.3131,                 1.3845,                 1.6788,                 1.8554,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     37,                0.43225,                0.35402,                0.67303,                0.40558,                0.23297,                0.62347,                0.43132,                0.47761,                 0.3824,                0.17132,                 1.5933,                 2.1571,                 2.3139,                 1.3281,                 1.6129,                 1.8652,             1.5916e-05,             1.5916e-05,             1.5916e-05
                     38,                0.42245,                0.35693,                0.66415,                0.40538,                 0.2387,                0.62184,                0.43233,                0.51155,                0.38079,                0.18048,                  1.573,                 2.1362,                 2.2876,                 1.3019,                 1.6007,                 1.8771,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     39,                0.41404,                0.33049,                0.65288,                0.39193,                0.23705,                0.61259,                0.50635,                0.52239,                0.40177,                0.19194,                 1.5498,                 2.0289,                 2.2329,                 1.3072,                 1.5496,                 1.8471,             1.0026e-05,             1.0026e-05,             1.0026e-05
                     40,                0.41637,                0.36036,                0.66254,                0.40259,                0.23447,                0.62414,                0.47705,                0.53731,                0.40467,                0.19234,                 1.5375,                 2.0528,                 2.2273,                 1.2806,                 1.5263,                 1.7826,             7.0805e-06,             7.0805e-06,             7.0805e-06
